is_positive_sentiment,sentiment_certainty
1.0,0.9994276762008667
0.0,0.9900749325752258
1.0,0.9355745315551758
0.0,0.9994542002677917
1.0,0.9994301199913025
1.0,0.5223010778427124
1.0,0.99327152967453
1.0,0.9985421299934387
1.0,0.9989134073257446
0.0,0.9988323450088501
1.0,0.9998293519020081
1.0,0.999632716178894
0.0,0.9870241284370422
1.0,0.9997984170913696
1.0,0.928213357925415
0.0,0.5972093939781189
1.0,0.9785352945327759
1.0,0.9985052347183228
1.0,0.9925917387008667
1.0,0.9786809682846069
1.0,0.9991438984870911
1.0,0.9863461852073669
1.0,0.6940838694572449
1.0,0.9915034770965576
1.0,0.9982501268386841
1.0,0.9990524649620056
0.0,0.9168449640274048
1.0,0.9997656345367432
1.0,0.9997583031654358
0.0,0.996649444103241
1.0,0.9981310367584229
1.0,0.9998641014099121
0.0,0.9219261407852173
0.0,0.9991700053215027
1.0,0.999649703502655
0.0,0.9727552533149719
1.0,0.9992097616195679
1.0,0.9995458126068115
0.0,0.9900892972946167
1.0,0.9976057410240173
1.0,0.9998600482940674
1.0,0.9890661835670471
0.0,0.9965459704399109
1.0,0.9933805465698242
1.0,0.9998025894165039
0.0,0.9833128452301025
0.0,0.9986193776130676
1.0,0.9998775124549866
1.0,0.9995695352554321
1.0,0.9998346567153931
0.0,0.9991925954818726
1.0,0.9938201308250427
1.0,0.7402545809745789
1.0,0.999738872051239
1.0,0.9994500279426575
1.0,0.9874621033668518
0.0,0.9992188811302185
0.0,0.9997578859329224
1.0,0.9998712539672852
0.0,0.9939746856689453
1.0,0.9986683130264282
1.0,0.974004864692688
1.0,0.9997196793556213
1.0,0.9916819930076599
1.0,0.9990336894989014
1.0,0.9997996091842651
1.0,0.9989940524101257
1.0,0.9969810247421265
0.0,0.9996248483657837
1.0,0.9933375120162964
1.0,0.9997993111610413
1.0,0.9983358383178711
0.0,0.9995552897453308
1.0,0.9998871088027954
1.0,0.9998682141304016
1.0,0.9997467994689941
0.0,0.9983930587768555
0.0,0.9995335340499878
0.0,0.9171268939971924
0.0,0.9995585083961487
1.0,0.9989289045333862
0.0,0.9996970891952515
1.0,0.9787769317626953
1.0,0.9996357560157776
1.0,0.9974265694618225
1.0,0.9905309081077576
0.0,0.9992955923080444
1.0,0.9997785687446594
1.0,0.9395212531089783
1.0,0.9994524121284485
1.0,0.9911224246025085
0.0,0.9979397058486938
0.0,0.9996548295021057
1.0,0.9924759864807129
1.0,0.9949822425842285
1.0,0.9790968894958496
1.0,0.9942144155502319
1.0,0.9922261238098145
1.0,0.9997073411941528
1.0,0.9958577156066895
0.0,0.9987877607345581
1.0,0.9985546469688416
0.0,0.9939769506454468
1.0,0.9997975826263428
0.0,0.5014660358428955
1.0,0.6590321660041809
1.0,0.9979799389839172
1.0,0.9990649819374084
0.0,0.9883996844291687
1.0,0.9986281394958496
1.0,0.999244213104248
1.0,0.9992591142654419
1.0,0.9986443519592285
0.0,0.811802327632904
0.0,0.9995815753936768
0.0,0.8493632078170776
1.0,0.9997991919517517
0.0,0.9660134315490723
1.0,0.9991827607154846
1.0,0.9987825751304626
1.0,0.9069249629974365
1.0,0.982539176940918
1.0,0.9421855211257935
1.0,0.9990158081054688
1.0,0.9794399738311768
0.0,0.9860361218452454
1.0,0.9996322393417358
1.0,0.9961746335029602
0.0,0.9916383624076843
1.0,0.9668339490890503
0.0,0.999458909034729
1.0,0.9983342289924622
1.0,0.9998511075973511
1.0,0.998846173286438
0.0,0.9984758496284485
1.0,0.9998003840446472
0.0,0.9992284178733826
0.0,0.9903496503829956
1.0,0.9995688796043396
0.0,0.7835505604743958
1.0,0.9997233152389526
0.0,0.9983925223350525
0.0,0.9995754957199097
1.0,0.9996722936630249
1.0,0.9986567497253418
1.0,0.9994005560874939
1.0,0.9995133280754089
0.0,0.9959824681282043
0.0,0.9994494915008545
1.0,0.9988014698028564
0.0,0.9729358553886414
1.0,0.999841570854187
1.0,0.9989997744560242
1.0,0.9992592334747314
1.0,0.996389627456665
1.0,0.9996362924575806
0.0,0.9997234344482422
0.0,0.6507813334465027
1.0,0.9998664259910583
0.0,0.9973106980323792
0.0,0.9992777109146118
1.0,0.9998385906219482
0.0,0.9955351948738098
1.0,0.9961669445037842
1.0,0.795174241065979
1.0,0.9988979697227478
1.0,0.9997616410255432
1.0,0.9985836148262024
0.0,0.9995739459991455
1.0,0.9613451957702637
1.0,0.9998354315757751
1.0,0.9987961649894714
0.0,0.5954500436782837
1.0,0.9993689060211182
0.0,0.9627410173416138
1.0,0.9975395202636719
1.0,0.998725175857544
0.0,0.9996803402900696
1.0,0.5329266786575317
1.0,0.9756459593772888
0.0,0.9303735494613647
0.0,0.9967224597930908
1.0,0.9955229759216309
0.0,0.9992937445640564
1.0,0.5013679265975952
0.0,0.9916127324104309
1.0,0.9994062781333923
0.0,0.9989827871322632
1.0,0.9989449381828308
0.0,0.9824860095977783
1.0,0.9982942342758179
